Time,Pos_x,Pos_y,Pos_z,Vel_x,Vel_y,Vel_z,Des_x,Des_y,Des_z,Position_Error,Traj_time,Yaw,Battery_Voltage,PWM_0,PWM_1,PWM_2,PWM_3
1770216049.8862624,-0.004044014029204845,-0.002540363697335124,4.978313446044922,0.005696264561265707,0.015066114254295826,0.011063794605433941,0.0,0.0,5.0,0.022206173007289175,0.0,0.0,15.819001197814941,768,768,769,769
1770216049.9057653,-0.0032723068725317717,-0.0019891562405973673,4.978524684906006,0.006246170960366726,0.014610744081437588,0.010584551841020584,0.0,0.0,5.0000001342309,0.021814207721657684,0.020044778000000003,0.0,15.819001197814941,768,768,769,769
1770216049.926091,-0.0025022204499691725,-0.0014330712147057056,4.978691101074219,0.006730061024427414,0.014151668176054955,0.00994035042822361,0.0,0.0,5.000001091661313,0.021504197243996864,0.040310024,0.0,15.819001197814941,768,768,769,769
1770216049.9459176,-0.0025022204499691725,-0.0014330712147057056,4.978691101074219,0.006730061024427414,0.014151668176054955,0.00994035042822361,0.0,0.0,5.000003629520404,0.021506712186108945,0.06016355600000001,0.0,15.819001197814941,768,768,769,769
1770216049.9658618,-0.0017897748621180654,-0.0009178178152069449,4.978837966918945,0.0071344380266964436,0.013663231395184994,0.009758503176271915,0.0,0.0,5.000008576470137,0.021265944426899525,0.080134576,0.0,15.819001197814941,768,768,769,769
1770216049.986146,-0.0017897748621180654,-0.0009178178152069449,4.978837966918945,0.0071344380266964436,0.013663231395184994,0.009758503176271915,0.0,0.0,5.0000168323179635,0.0212741632782281,0.100330211,0.0,15.819001197814941,768,768,769,769
1770216050.0059671,-0.0011358672054484487,-0.0004381671897135675,4.97896671295166,0.007369916420429945,0.013257831335067749,0.009846917353570461,0.0,0.0,5.00002894663424,0.021097390182061554,0.120203314,0.0,15.819001197814941,768,768,770,770
1770216050.0259547,-0.0011358672054484487,-0.0004381671897135675,4.97896671295166,0.007369916420429945,0.013257831335067749,0.009846917353570461,0.0,0.0,5.000045905115587,0.021114320426627742,0.140175069,0.0,15.819001197814941,768,768,770,770
1770216050.0463753,-0.00038436081376858056,0.0001382540795020759,4.979058265686035,0.00755891902372241,0.012729420326650143,0.009961799718439579,0.0,0.0,5.000068931762818,0.02101463624276477,0.160517928,0.0,15.819001197814941,768,768,770,770
1770216050.0665486,0.0001932882150867954,0.0005795466131530702,4.979072093963623,0.007561131846159697,0.012528679333627224,0.009984210133552551,0.0,0.0,5.000098435383018,0.021035214952452305,0.180759374,0.0,15.819001197814941,768,768,770,770
1770216050.0859237,0.0001932882150867954,0.0005795466131530702,4.979072093963623,0.007561131846159697,0.012528679333627224,0.009984210133552551,0.0,0.0,5.00013367607259,0.02107044080088642,0.200171223,0.0,15.819001197814941,768,768,770,770
1770216050.105868,0.0007719710702076554,0.0009697070927359164,4.978985786437988,0.007509773597121239,0.012064808048307896,0.00989881344139576,0.0,0.0,5.000177774593572,0.021228203719706285,0.220127169,0.0,15.819001197814941,769,769,770,770
1770216050.1258793,0.0007719710702076554,0.0009697070927359164,4.978985786437988,0.007509773597121239,0.012064808048307896,0.00989881344139576,0.0,0.0,5.000230785881789,0.021281124795133343,0.240133912,0.0,15.819001197814941,769,769,770,770
1770216050.1460407,0.0013738720444962382,0.0013430353719741106,4.9788055419921875,0.0075101894326508045,0.011674490757286549,0.00993266049772501,0.0,0.0,5.0002938264343735,0.02157400372377167,0.26026396300000004,0.0,15.819001197814941,769,769,770,770
1770216050.166083,0.002001018263399601,0.0017269364325329661,4.9785943031311035,0.007556377910077572,0.011305773630738258,0.009852164424955845,0.0,0.0,5.000366989658883,0.021932538890184036,0.280286185,0.0,15.819001197814941,769,769,770,770
1770216050.1860523,0.002001018263399601,0.0017269364325329661,4.9785943031311035,0.007556377910077572,0.011305773630738258,0.009852164424955845,0.0,0.0,5.000451194464293,0.022016132318899855,0.300265202,0.0,15.819001197814941,769,769,770,770
1770216050.205902,0.0026125090662389994,0.00210366933606565,4.978353023529053,0.007389812730252743,0.010943381115794182,0.009884815663099289,0.0,0.0,5.0005468847612216,0.022445892824511347,0.320146696,0.0,15.819001197814941,769,769,770,770
1770216050.225945,0.0026125090662389994,0.00210366933606565,4.978353023529053,0.007389812730252743,0.010943381115794182,0.009884815663099289,0.0,0.0,5.000656143474813,0.022553930646599923,0.340186197,0.0,15.819001197814941,769,769,770,770
1770216050.2461238,0.0032757397275418043,0.0025663848500698805,4.978024482727051,0.0071151601150631905,0.01053527556359768,0.01002077292650938,0.0,0.0,5.000779600365177,0.023132491882333305,0.360308434,0.0,15.819001197814941,769,769,770,770
1770216050.2657614,0.003719742875546217,0.0029635620303452015,4.977749347686768,0.006778796203434467,0.010214908048510551,0.010242938064038754,0.0,0.0,5.000914762269754,0.023648585999368192,0.380031706,0.0,15.819001197814941,769,769,770,770
1770216050.2858272,0.003719742875546217,0.0029635620303452015,4.977749347686768,0.006778796203434467,0.010214908048510551,0.010242938064038754,0.0,0.0,5.001067391950992,0.023798117053166014,0.40009064,0.0,15.819001197814941,769,769,770,770
1770216050.3059793,0.004062027670443058,0.003430526237934828,4.9774861335754395,0.0063587394542992115,0.009905912913382053,0.010638817213475704,0.0,0.0,5.001236585101426,0.024338293423181126,0.420202295,0.0,15.819001197814941,770,770,770,770
1770216050.3257453,0.004062027670443058,0.003430526237934828,4.9774861335754395,0.0063587394542992115,0.009905912913382053,0.010638817213475704,0.0,0.0,5.001420004409944,0.024517315354405118,0.44002800200000003,0.0,15.819001197814941,770,770,770,770
