tick,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,qua_x,qua_y,qua_z,qua_w,pwm_1,pwm_2,pwm_3,pwm_4,voltage
1770446040179952,-0.011563936248421669,2.001071927603334,5.147120952606201,-0.0007357505965046585,-0.008465319871902466,-0.011259367689490318,0.002097125630825758,0.0060892533510935425,9.829207420349121,0.001280528648363223,-0.0005674396115557112,2.8196241801116553e-05,-0.9999990187313386,770,770,770,769,15.515000343322754
1770446040188614,-0.011563936248421669,2.001071927603334,5.147120952606201,-0.0007357505965046585,-0.008465319871902466,-0.011259367689490318,-0.0014778138138353825,0.0034845944028359765,9.82680606842041,0.001280528648363223,-0.0005674396115557112,2.8196241801116553e-05,-0.9999990187313386,770,770,770,769,15.515000343322754
1770446040198362,-0.011563936248421669,2.001071927603334,5.147120952606201,-0.0007357505965046585,-0.008465319871902466,-0.011259367689490318,-0.0014778138138353825,0.0034845944028359765,9.82680606842041,0.001280528648363223,-0.0005674396115557112,2.8196241801116553e-05,-0.9999990187313386,770,770,770,769,15.515000343322754
1770446040207964,-0.011563936248421669,2.001071927603334,5.147120952606201,-0.0007357505965046585,-0.008465319871902466,-0.011259367689490318,-0.0014778138138353825,0.0034845944028359765,9.82680606842041,0.001280528648363223,-0.0005674396115557112,2.8196241801116553e-05,-0.9999990187313386,770,770,770,769,15.515000343322754
1770446040217272,-0.011930332519114017,2.0012616886524484,5.1463165283203125,-0.0005315450835041702,-0.006948115769773722,-0.01031496375799179,-0.0031213832553476095,0.002372714690865289,9.823607444763184,0.0014231837201081068,-0.000700337622735299,7.544285743044402e-06,-0.9999987420084072,770,770,770,769,15.515000343322754
1770446040227506,-0.011930332519114017,2.0012616886524484,5.1463165283203125,-0.0005315450835041702,-0.006948115769773722,-0.01031496375799179,-0.0031213832553476095,0.002372714690865289,9.823607444763184,0.0014231837201081068,-0.000700337622735299,7.544285743044402e-06,-0.9999987420084072,752,788,789,751,15.515000343322754
1770446040237217,-0.011930332519114017,2.0012616886524484,5.1463165283203125,-0.0005315450835041702,-0.006948115769773722,-0.01031496375799179,-0.0013148984871804714,0.003049212740735428,9.867231369018555,0.0014231837201081068,-0.000700337622735299,7.544285743044402e-06,-0.9999987420084072,752,788,789,751,15.515000343322754
1770446040247483,-0.011930332519114017,2.0012616886524484,5.1463165283203125,-0.0005315450835041702,-0.006948115769773722,-0.01031496375799179,-0.0013148984871804714,0.003049212740735428,9.867231369018555,0.0014231837201081068,-0.000700337622735299,7.544285743044402e-06,-0.9999987420084072,752,788,789,751,15.515000343322754
1770446040257110,-0.01216137409210205,2.0014860160881653,5.145757675170898,-0.00014135948731563985,-0.005807163193821907,-0.008446247316896915,0.004980217665433884,0.013648314401508585,9.859495162963867,0.0011723953807153344,-0.0007799610547680122,-4.17253798187766e-06,-0.9999990085657156,752,788,789,751,15.515000343322754
1770446040267245,-0.01216137409210205,2.0014860160881653,5.145757675170898,-0.00014135948731563985,-0.005807163193821907,-0.008446247316896915,0.004980217665433884,0.013648314401508585,9.859495162963867,0.0011723953807153344,-0.0007799610547680122,-4.17253798187766e-06,-0.9999990085657156,752,788,789,751,15.515000343322754
1770446040277455,-0.01216137409210205,2.0014860160881653,5.145757675170898,-0.00014135948731563985,-0.005807163193821907,-0.008446247316896915,0.0016631095204502344,0.0199883021414292,9.851426124572754,0.0011723953807153344,-0.0007799610547680122,-4.17253798187766e-06,-0.9999990085657156,752,788,789,751,15.515000343322754
1770446040287215,-0.012256824411451817,2.001738410210237,5.145320415496826,0.00041189324110746384,-0.006239057052880526,-0.007040782365947962,0.0016631095204502344,0.0199883021414292,9.851426124572754,-0.002030889782024092,-0.0009098877606323093,-2.343364742401363e-05,-0.9999975235178437,752,788,789,751,15.515000343322754
1770446040297191,-0.012256824411451817,2.001738410210237,5.145320415496826,0.00041189324110746384,-0.006239057052880526,-0.007040782365947962,-0.004532963037490845,0.010640649124981178,9.850481033325195,-0.002030889782024092,-0.0009098877606323093,-2.343364742401363e-05,-0.9999975235178437,752,788,789,751,15.515000343322754
1770446040307174,-0.012256824411451817,2.001738410210237,5.145320415496826,0.00041189324110746384,-0.006239057052880526,-0.007040782365947962,-0.004532963037490845,0.010640649124981178,9.850481033325195,-0.002030889782024092,-0.0009098877606323093,-2.343364742401363e-05,-0.9999975235178437,752,788,789,751,15.515000343322754
1770446040317143,-0.012256824411451817,2.001738410210237,5.145320415496826,0.00041189324110746384,-0.006239057052880526,-0.007040782365947962,0.006639140658080578,0.015601053833962692,9.844703674316406,-0.002030889782024092,-0.0009098877606323093,-2.343364742401363e-05,-0.9999975235178437,752,788,789,751,15.515000343322754
1770446040327310,-0.012206190265715122,2.0019294783705845,5.144980430603027,0.0012712113093584776,-0.009362196549773216,-0.006004221737384796,0.006639140658080578,0.015601053833962692,9.844703674316406,-0.007545068519179412,-0.001012597456575928,-3.898583464298384e-05,-0.9999710221139094,770,769,769,770,15.515000343322754
1770446040337114,-0.012206190265715122,2.0019294783705845,5.144980430603027,0.0012712113093584776,-0.009362196549773216,-0.006004221737384796,-0.00027882144786417484,0.014984016306699528,9.843230247497559,-0.007545068519179412,-0.001012597456575928,-3.898583464298384e-05,-0.9999710221139094,770,769,769,770,15.515000343322754
1770446040347307,-0.012206190265715122,2.0019294783705845,5.144980430603027,0.0012712113093584776,-0.009362196549773216,-0.006004221737384796,-0.00027882144786417484,0.014984016306699528,9.843230247497559,-0.007545068519179412,-0.001012597456575928,-3.898583464298384e-05,-0.9999710221139094,770,769,769,770,15.515000343322754
1770446040357175,-0.011985084041953087,2.002035382669419,5.144722938537598,0.002171639120206237,-0.015483750961720943,-0.005184895358979702,0.0003478128928691149,0.011466463096441042,9.835431098937988,-0.010606527700156134,-0.0010573616281941234,-4.990186542751035e-05,-0.9999431889194189,770,769,769,770,15.515000343322754
1770446040367258,-0.011985084041953087,2.002035382669419,5.144722938537598,0.002171639120206237,-0.015483750961720943,-0.005184895358979702,0.0003478128928691149,0.011466463096441042,9.835431098937988,-0.010606527700156134,-0.0010573616281941234,-4.990186542751035e-05,-0.9999431889194189,770,769,769,770,15.515000343322754
1770446040377737,-0.011985084041953087,2.002035382669419,5.144722938537598,0.002171639120206237,-0.015483750961720943,-0.005184895358979702,0.007489553652703762,0.012766244821251644,9.842940330505371,-0.010606527700156134,-0.0010573616281941234,-4.990186542751035e-05,-0.9999431889194189,770,769,769,770,15.515000343322754
1770446040387531,-0.011985084041953087,2.002035382669419,5.144722938537598,0.002171639120206237,-0.015483750961720943,-0.005184895358979702,0.007489553652703762,0.012766244821251644,9.842940330505371,-0.010606527700156134,-0.0010573616281941234,-4.990186542751035e-05,-0.9999431889194189,770,769,769,770,15.515000343322754
1770446040398586,-0.01164235919713974,2.0019629618618637,5.144549369812012,0.003190392628312111,-0.024682272225618362,-0.004367372486740351,-0.004259617067873478,0.0035345703363430622,9.835713386535645,-0.016732751951130498,-0.0011424791883665087,-7.09752901569914e-05,-0.9998593424657061,770,769,769,770,15.515000343322754
1770446040407421,-0.01164235919713974,2.0019629618618637,5.144549369812012,0.003190392628312111,-0.024682272225618362,-0.004367372486740351,-0.004259617067873478,0.0035345703363430622,9.835713386535645,-0.016732751951130498,-0.0011424791883665087,-7.09752901569914e-05,-0.9998593424657061,770,769,769,770,15.515000343322754
1770446040417499,-0.01164235919713974,2.0019629618618637,5.144549369812012,0.003190392628312111,-0.024682272225618362,-0.004367372486740351,-7.001135963946581e-05,0.004068534355611813,9.830242156982422,-0.016732751951130498,-0.0011424791883665087,-7.09752901569914e-05,-0.9998593424657061,770,769,769,770,15.515000343322754
1770446040427281,-0.01097214687615633,2.0013619360979646,5.1444549560546875,0.004664620850235224,-0.04020267724990845,-0.003641728311777115,-7.001135963946581e-05,0.004068534355611813,9.830242156982422,-0.02238995123833819,-0.0011490712478016245,-0.00010195322520625934,-0.9997486480732806,773,767,767,773,15.515000343322754
1770446040437235,-0.01097214687615633,2.0013619360979646,5.1444549560546875,0.004664620850235224,-0.04020267724990845,-0.003641728311777115,-7.001135963946581e-05,0.004068534355611813,9.830242156982422,-0.02238995123833819,-0.0011490712478016245,-0.00010195322520625934,-0.9997486480732806,773,767,767,773,15.515000343322754
