tick,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,qua_x,qua_y,qua_z,qua_w,pwm_1,pwm_2,pwm_3,pwm_4,voltage
1770450398580961,-2.0189880579710007,-2.022935664281249,4.970425128936768,0.0017689298838376999,0.03218543529510498,0.0024458745028823614,-0.013266132213175297,-0.00363052729517101,9.835655212402344,0.00048208208209796216,-0.0010888225257278793,-0.001054429873590147,-0.9999987351192077,771,770,770,770,15.67500114440918
1770450398589773,-2.0189880579710007,-2.022935664281249,4.970425128936768,0.0017689298838376999,0.03218543529510498,0.0024458745028823614,-0.013266132213175297,-0.00363052729517101,9.835655212402344,0.00048208208209796216,-0.0010888225257278793,-0.001054429873590147,-0.9999987351192077,771,770,770,770,15.67500114440918
1770450398599134,-2.0189880579710007,-2.022935664281249,4.970425128936768,0.0017689298838376999,0.03218543529510498,0.0024458745028823614,-0.013266132213175297,-0.00363052729517101,9.835655212402344,0.00048208208209796216,-0.0010888225257278793,-0.001054429873590147,-0.9999987351192077,771,770,770,770,15.67500114440918
1770450398609045,-2.0189880579710007,-2.022935664281249,4.970425128936768,0.0017689298838376999,0.03218543529510498,0.0024458745028823614,-0.010586799122393131,-0.012157648801802383,9.839629173278809,0.00048208208209796216,-0.0010888225257278793,-0.001054429873590147,-0.9999987351192077,771,770,770,770,15.67500114440918
1770450398618371,-2.0199806727468967,-2.021377108991146,4.969367027282715,0.0017697970615699887,0.032695990055799484,0.004231037572026253,-0.010586799122393131,-0.012157648801802383,9.839629173278809,2.4659446033653973e-05,-0.0011910317422732448,-0.0011825984213114959,-0.9999985911471448,743,801,687,851,15.67500114440918
1770450398628074,-2.0199806727468967,-2.021377108991146,4.969367027282715,0.0017697970615699887,0.032695990055799484,0.004231037572026253,-0.016652816906571388,-0.017048191279171673,9.992640495300293,2.4659446033653973e-05,-0.0011910317422732448,-0.0011825984213114959,-0.9999985911471448,743,801,687,851,15.67500114440918
1770450398638216,-2.0199806727468967,-2.021377108991146,4.969367027282715,0.0017697970615699887,0.032695990055799484,0.004231037572026253,-0.016652816906571388,-0.017048191279171673,9.992640495300293,2.4659446033653973e-05,-0.0011910317422732448,-0.0011825984213114959,-0.9999985911471448,743,801,687,851,15.67500114440918
1770450398648124,-2.020987158641219,-2.0198138132691383,4.968451499938965,0.0024439343251287937,0.0331987701356411,0.010373623110353947,-0.034485045820474625,-0.018964160233734813,10.003846168518066,0.0017355887528486796,-0.005683815891996982,-0.0013247175729655485,-0.9999814633741662,743,801,687,851,15.67500114440918
1770450398658045,-2.020987158641219,-2.0198138132691383,4.968451499938965,0.0024439343251287937,0.0331987701356411,0.010373623110353947,-0.034485045820474625,-0.018964160233734813,10.003846168518066,0.0017355887528486796,-0.005683815891996982,-0.0013247175729655485,-0.9999814633741662,743,801,687,851,15.67500114440918
1770450398667977,-2.020987158641219,-2.0198138132691383,4.968451499938965,0.0024439343251287937,0.0331987701356411,0.010373623110353947,-0.015737220644950867,-0.017489580437539783,9.991936683654785,0.0017355887528486796,-0.005683815891996982,-0.0013247175729655485,-0.9999814633741662,743,801,687,851,15.67500114440918
