tick,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,qua_x,qua_y,qua_z,qua_w,pwm_1,pwm_2,pwm_3,pwm_4,voltage
1770449828398857,-2.0082911290228367,-1.997219319920987,4.996649265289307,0.005768155213445425,-0.001795716118067503,-0.00555064482614398,0.002802636008709669,-0.007644779048858873,9.80511474609375,-0.0004788948711233079,0.0003004321951278036,-0.00013541782082393872,-0.9999998310310918,769,769,769,769,15.8100004196167
1770449828406510,-2.0082911290228367,-1.997219319920987,4.996649265289307,0.005768155213445425,-0.001795716118067503,-0.00555064482614398,0.0010518264025449753,0.0018471654038888308,9.810075759887695,-0.0004788948711233079,0.0003004321951278036,-0.00013541782082393872,-0.9999998310310918,769,769,769,769,15.8100004196167
1770449828415850,-2.0082911290228367,-1.997219319920987,4.996649265289307,0.005768155213445425,-0.001795716118067503,-0.00555064482614398,0.0010518264025449753,0.0018471654038888308,9.810075759887695,-0.0004788948711233079,0.0003004321951278036,-0.00013541782082393872,-0.9999998310310918,769,769,769,769,15.8100004196167
1770449828425425,-2.0083592869341373,-1.997237048111856,4.99658203125,0.00546764163300395,-0.0022415705025196075,-0.0055472333915531635,-0.008055892772972584,-0.006442981306462273,9.860136032104492,-0.0005155980493419932,0.00029882868686327427,-9.35238532553911e-05,-0.9999998180566616,769,769,769,769,15.8100004196167
1770449828435482,-2.0083592869341373,-1.997237048111856,4.99658203125,0.00546764163300395,-0.0022415705025196075,-0.0055472333915531635,-0.008055892772972584,-0.006442981306462273,9.860136032104492,-0.0005155980493419932,0.00029882868686327427,-9.35238532553911e-05,-0.9999998180566616,769,769,769,769,15.8100004196167
1770449828445162,-2.0083592869341373,-1.997237048111856,4.99658203125,0.00546764163300395,-0.0022415705025196075,-0.0055472333915531635,-0.014184477739036083,-0.011428349651395065,9.879257202148438,-0.0005155980493419932,0.00029882868686327427,-9.35238532553911e-05,-0.9999998180566616,769,769,769,769,15.8100004196167
1770449828455140,-2.0083270221948624,-1.9971831182483584,4.996575355529785,0.005023914389312267,-0.0026682668831199408,-0.003565928665921092,-0.014184477739036083,-0.011428349651395065,9.879257202148438,-3.93307477316835e-06,-0.0005220289746454027,-7.582218080576345e-05,-0.999999860860629,769,769,769,769,15.8100004196167
1770449828465076,-2.0083270221948624,-1.9971831182483584,4.996575355529785,0.005023914389312267,-0.0026682668831199408,-0.003565928665921092,-0.017459465190768242,-0.011492789722977858,9.882887840270996,-3.93307477316835e-06,-0.0005220289746454027,-7.582218080576345e-05,-0.999999860860629,769,769,769,769,15.8100004196167
1770449828475370,-2.0083270221948624,-1.9971831182483584,4.996575355529785,0.005023914389312267,-0.0026682668831199408,-0.003565928665921092,-0.017459465190768242,-0.011492789722977858,9.882887840270996,-3.93307477316835e-06,-0.0005220289746454027,-7.582218080576345e-05,-0.999999860860629,769,769,769,769,15.8100004196167
1770449828485872,-2.0083270221948624,-1.9971831182483584,4.996575355529785,0.005023914389312267,-0.0026682668831199408,-0.003565928665921092,-0.017459465190768242,-0.011492789722977858,9.882887840270996,-3.93307477316835e-06,-0.0005220289746454027,-7.582218080576345e-05,-0.999999860860629,769,769,769,769,15.8100004196167
1770449828495539,-2.0081102224066854,-1.9970391925889999,4.996614456176758,0.006939867045730352,-0.0017775583546608686,-0.0007657342357560992,-0.012483681552112103,-0.014295947737990602,9.863609313964844,0.0014384210408900772,-0.0026273538648659976,-8.180702912733269e-05,-0.9999955106220166,774,766,767,769,15.8100004196167
1770449828506530,-2.0081102224066854,-1.9970391925889999,4.996614456176758,0.006939867045730352,-0.0017775583546608686,-0.0007657342357560992,-0.012483681552112103,-0.014295947737990602,9.863609313964844,0.0014384210408900772,-0.0026273538648659976,-8.180702912733269e-05,-0.9999955106220166,774,766,767,769,15.8100004196167
1770449828515520,-2.0081102224066854,-1.9970391925889999,4.996614456176758,0.006939867045730352,-0.0017775583546608686,-0.0007657342357560992,-0.00890482310205698,-0.007428578566758621,9.830610275268555,0.0014384210408900772,-0.0026273538648659976,-8.180702912733269e-05,-0.9999955106220166,774,766,767,769,15.8100004196167
1770449828526168,-2.007698178291321,-1.996787325013429,4.9966511726379395,0.012024703435599804,0.0018169565591961145,0.00018091767560690641,-0.00890482310205698,-0.007428578566758621,9.830610275268555,0.006377044482728483,-0.008530578072489801,-0.00010005661207438676,-0.999943274656162,774,766,767,769,15.8100004196167
1770449828535624,-2.007698178291321,-1.996787325013429,4.9966511726379395,0.012024703435599804,0.0018169565591961145,0.00018091767560690641,-0.0014877559151500463,-0.0029060589149582277,9.823139190673828,0.006377044482728483,-0.008530578072489801,-0.00010005661207438676,-0.999943274656162,774,766,767,769,15.8100004196167
1770449828545438,-2.007698178291321,-1.996787325013429,4.9966511726379395,0.012024703435599804,0.0018169565591961145,0.00018091767560690641,-0.0014877559151500463,-0.0029060589149582277,9.823139190673828,0.006377044482728483,-0.008530578072489801,-0.00010005661207438676,-0.999943274656162,774,766,767,769,15.8100004196167
1770449828556761,-2.007698178291321,-1.996787325013429,4.9966511726379395,0.012024703435599804,0.0018169565591961145,0.00018091767560690641,-0.0016892526764422655,-0.010005272924898853,9.818259239196777,0.006377044482728483,-0.008530578072489801,-0.00010005661207438676,-0.999943274656162,774,766,767,769,15.8100004196167
1770449828565227,-2.006974030751735,-1.9963628763798624,4.996705055236816,0.020334921777248383,0.00840080063790083,0.00047015558811835945,-0.0016892526764422655,-0.010005272924898853,9.818259239196777,0.012402811211029333,-0.014605198246958651,-0.00012028709718428301,-0.9998164051410863,774,766,767,769,15.8100004196167
1770449828575102,-2.006974030751735,-1.9963628763798624,4.996705055236816,0.020334921777248383,0.00840080063790083,0.00047015558811835945,-0.007407001219689846,-0.014483951963483085,9.822627067565918,0.012402811211029333,-0.014605198246958651,-0.00012028709718428301,-0.9998164051410863,774,766,767,769,15.8100004196167
